"USW00025333","SITKA AIRPORT, AK US","2018-01-01","0.32",,"53","48"
"USW00025333","SITKA AIRPORT, AK US","2018-01-02","0.93",,"56","45"
"USW00025333","SITKA AIRPORT, AK US","2018-01-03","0.84",,"50","38"
"USW00025333","SITKA AIRPORT, AK US","2018-01-04","1.08",,"46","36"
"USW00025333","SITKA AIRPORT, AK US","2018-01-05","1.49",,"55","50"
"USW00025333","SITKA AIRPORT, AK US","2018-01-06","0.0",,"54","42"
"USW00025333","SITKA AIRPORT, AK US","2018-01-07","0.23",,"60","54"
"USW00025333","SITKA AIRPORT, AK US","2018-01-08","0.65",,"56","49"
"USW00025333","SITKA AIRPORT, AK US","2018-01-09","1.36",,"46","38"
"USW00025333","SITKA AIRPORT, AK US","2018-01-10","0.46",,"55","40"
"USW00025333","SITKA AIRPORT, AK US","2018-01-11","1.21",,"67","56"
"USW00025333","SITKA AIRPORT, AK US","2018-01-12","1.3",,"61","53"
"USW00025333","SITKA AIRPORT, AK US","2018-01-13","0.95",,"68","61"
"USW00025333","SITKA AIRPORT, AK US","2018-01-14","0.49",,"62","49"
"USW00025333","SITKA AIRPORT, AK US","2018-01-15","1.08",,"46","35"
"USW00025333","SITKA AIRPORT, AK US","2018-01-16","1.14",,"60","52"
"USW00025333","SITKA AIRPORT, AK US","2018-01-17","0.84",,"56","51"
"USW00025333","SITKA AIRPORT, AK US","2018-01-18","1.37",,"67","60"
"USW00025333","SITKA AIRPORT, AK US","2018-01-19","0.69",,"45","40"
"USW00025333","SITKA AIRPORT, AK US","2018-01-20","0.61",,"58","52"
"USW00025333","SITKA AIRPORT, AK US","2018-01-21","0.35",,"69","57"
"USW00025333","SITKA AIRPORT, AK US","2018-01-22","1.41",,"60","46"
"USW00025333","SITKA AIRPORT, AK US","2018-01-23","1.04",,"69","59"
"USW00025333","SITKA AIRPORT, AK US","2018-01-24","0.97",,"65","58"
"USW00025333","SITKA AIRPORT, AK US","2018-01-25","1.33",,"66","53"
"USW00025333","SITKA AIRPORT, AK US","2018-01-26","0.1",,"57","51"
"USW00025333","SITKA AIRPORT, AK US","2018-01-27","0.58",,"50","41"
"USW00025333","SITKA AIRPORT, AK US","2018-01-28","1.09",,"67","54"
"USW00025333","SITKA AIRPORT, AK US","2018-01-29","0.92",,"68","53"
"USW00025333","SITKA AIRPORT, AK US","2018-01-30","0.65",,"51","40"
"USW00025333","SITKA AIRPORT, AK US","2018-01-31","1.39",,"47","33"
"USW00025333","SITKA AIRPORT, AK US","2018-02-01","1.35",,"66","55"
"USW00025333","SITKA AIRPORT, AK US","2018-02-02","1.1",,"67","55"
"USW00025333","SITKA AIRPORT, AK US","2018-02-03","1.23",,"66","58"
"USW00025333","SITKA AIRPORT, AK US","2018-02-04","0.28",,"52","39"
"USW00025333","SITKA AIRPORT, AK US","2018-02-05","1.48",,"55","45"
"USW00025333","SITKA AIRPORT, AK US","2018-02-06","0.9",,"59","49"
"USW00025333","SITKA AIRPORT, AK US","2018-02-07","1.49",,"68","61"
"USW00025333","SITKA AIRPORT, AK US","2018-02-08","0.62",,"63","49"
"USW00025333","SITKA AIRPORT, AK US","2018-02-09","0.75",,"48","38"
"USW00025333","SITKA AIRPORT, AK US","2018-02-10","0.28",,"48","43"
"USW00025333","SITKA AIRPORT, AK US","2018-02-11","1.44",,"62","51"
"USW00025333","SITKA AIRPORT, AK US","2018-02-12","0.99",,"70","60"
"USW00025333","SITKA AIRPORT, AK US","2018-02-13","0.4",,"57","45"
"USW00025333","SITKA AIRPORT, AK US","2018-02-14","0.08",,"60","54"
"USW00025333","SITKA AIRPORT, AK US","2018-02-15","0.45",,"52","39"
"USW00025333","SITKA AIRPORT, AK US","2018-02-16","0.96",,"51","41"
"USW00025333","SITKA AIRPORT, AK US","2018-02-17","1.08",,"61","49"
"USW00025333","SITKA AIRPORT, AK US","2018-02-18","0.95",,"54","42"
"USW00025333","SITKA AIRPORT, AK US","2018-02-19","1.5",,"56","51"
"USW00025333","SITKA AIRPORT, AK US","2018-02-20","0.57",,"58","43"
"USW00025333","SITKA AIRPORT, AK US","2018-02-21","0.4",,"53","40"
"USW00025333","SITKA AIRPORT, AK US","2018-02-22","0.74",,"62","47"
"USW00025333","SITKA AIRPORT, AK US","2018-02-23","1.45",,"51","38"
"USW00025333","SITKA AIRPORT, AK US","2018-02-24","0.0",,"48","37"
"USW00025333","SITKA AIRPORT, AK US","2018-02-25","1.06",,"70","64"
"USW00025333","SITKA AIRPORT, AK US","2018-02-26","0.83",,"51","45"
"USW00025333","SITKA AIRPORT, AK US","2018-02-27","0.49",,"65","55"
"USW00025333","SITKA AIRPORT, AK US","2018-02-28","1.31",,"70","65"
"USW00025333","SITKA AIRPORT, AK US","2018-03-01","1.32",,"65","56"
"USW00025333","SITKA AIRPORT, AK US","2018-03-02","0.78",,"60","54"
"USW00025333","SITKA AIRPORT, AK US","2018-03-03","1.3",,"47","41"
"USW00025333","SITKA AIRPORT, AK US","2018-03-04","1.36",,"65","52"
"USW00025333","SITKA AIRPORT, AK US","2018-03-05","1.46",,"53","39"
"USW00025333","SITKA AIRPORT, AK US","2018-03-06","0.89",,"59","52"
"USW00025333","SITKA AIRPORT, AK US","2018-03-07","1.41",,"45","39"
"USW00025333","SITKA AIRPORT, AK US","2018-03-08","0.18",,"61","53"
"USW00025333","SITKA AIRPORT, AK US","2018-03-09","0.88",,"66","55"
"USW00025333","SITKA AIRPORT, AK US","2018-03-10","1.48",,"47","40"
"USW00025333","SITKA AIRPORT, AK US","2018-03-11","0.56",,"50","36"
"USW00025333","SITKA AIRPORT, AK US","2018-03-12","0.01",,"50","40"
"USW00025333","SITKA AIRPORT, AK US","2018-03-13","0.18",,"50","41"
"USW00025333","SITKA AIRPORT, AK US","2018-03-14","1.19",,"67","60"
"USW00025333","SITKA AIRPORT, AK US","2018-03-15","0.53",,"56","45"
"USW00025333","SITKA AIRPORT, AK US","2018-03-16","0.55",,"53","38"
"USW00025333","SITKA AIRPORT, AK US","2018-03-17","0.08",,"66","52"
"USW00025333","SITKA AIRPORT, AK US","2018-03-18","0.06",,"66","57"
